Date,Close,Lag_1,Lag_2,Lag_3,SMA_7
2024-02-12,122.325,121.65,121.3,123.45,122.15714285714286
2024-02-13,121.975,122.325,121.65,121.3,122.125
2024-02-14,122.5,121.975,122.325,121.65,122.15714285714286
2024-02-15,121.925,122.5,121.975,122.325,122.16071428571429
2024-02-16,121.25,121.925,122.5,121.975,121.84642857142856
2024-02-19,124.7,121.25,121.925,122.5,122.33214285714287
2024-02-20,117.875,124.7,121.25,121.925,121.79285714285713
2024-02-21,115.5,117.875,124.7,121.25,120.81785714285715
2024-02-22,115.94999999999999,115.5,117.875,124.7,119.95714285714284
2024-02-26,118.0,115.94999999999999,115.5,117.875,119.3142857142857
2024-02-27,116.925,118.0,115.94999999999999,115.5,118.60000000000001
2024-02-28,116.55000000000001,116.925,118.0,115.94999999999999,117.92857142857143
2024-02-29,117.125,116.55000000000001,116.925,118.0,116.84642857142856
2024-03-01,118.27499999999999,117.125,116.55000000000001,116.925,116.90357142857142
2024-03-04,118.89999999999999,118.27499999999999,117.125,116.55000000000001,117.3892857142857
2024-03-05,117.525,118.89999999999999,118.27499999999999,117.125,117.61428571428573
2024-03-06,117.19999999999999,117.525,118.89999999999999,118.27499999999999,117.5
2024-03-07,116.55000000000001,117.19999999999999,117.525,118.89999999999999,117.44642857142857
2024-03-11,116.65,116.55000000000001,117.19999999999999,117.525,117.46071428571429
2024-03-12,116.975,116.65,116.55000000000001,117.19999999999999,117.43928571428572
2024-03-13,116.925,116.975,116.65,116.55000000000001,117.24642857142858
2024-03-14,115.45,116.925,116.975,116.65,116.75357142857145
2024-03-15,115.97500000000001,115.45,116.925,116.975,116.53214285714286
2024-03-18,114.35000000000001,115.97500000000001,115.45,116.925,116.125
2024-03-19,111.825,114.35000000000001,115.97500000000001,115.45,115.45
2024-03-20,112.35000000000001,111.825,114.35000000000001,115.97500000000001,114.83571428571429
2024-03-21,112.37499999999999,112.35000000000001,111.825,114.35000000000001,114.17857142857143
2024-03-22,111.5,112.37499999999999,112.35000000000001,111.825,113.40357142857144
2024-03-25,113.2,111.5,112.37499999999999,112.35000000000001,113.08214285714287
2024-03-26,112.875,113.2,111.5,112.37499999999999,112.6392857142857
2024-03-27,112.97500000000001,112.875,113.2,111.5,112.44285714285715
2024-03-28,112.89999999999999,112.97500000000001,112.875,113.2,112.59642857142856
2024-03-29,114.625,112.89999999999999,112.97500000000001,112.875,112.92142857142858
2024-04-01,116.475,114.625,112.89999999999999,112.97500000000001,113.50714285714285
2024-04-02,118.15,116.475,114.625,112.89999999999999,114.45714285714287
2024-04-03,118.35,118.15,116.475,114.625,115.19285714285714
2024-04-04,119.7,118.35,118.15,116.475,116.16785714285713
2024-04-05,119.375,119.7,118.35,118.15,117.08214285714287
2024-04-08,120.125,119.375,119.7,118.35,118.11428571428571
2024-04-09,118.32499999999999,120.125,119.375,119.7,118.64285714285712
2024-04-10,118.7,118.32499999999999,120.125,119.375,118.96071428571429
2024-04-11,118.42500000000001,118.7,118.32499999999999,120.125,119.0
2024-04-12,119.3,118.42500000000001,118.7,118.32499999999999,119.13571428571429
2024-04-15,118.675,119.3,118.42500000000001,118.7,118.98928571428571
2024-04-16,118.575,118.675,119.3,118.42500000000001,118.875
2024-04-17,118.60000000000001,118.575,118.675,119.3,118.65714285714286
2024-04-18,119.125,118.60000000000001,118.575,118.675,118.77142857142859
2024-04-19,119.475,119.125,118.60000000000001,118.575,118.88214285714285
2024-04-22,120.475,119.475,119.125,118.60000000000001,119.175
2024-04-23,118.37500000000001,120.475,119.475,119.125,119.04285714285713
2024-04-24,116.975,118.37500000000001,120.475,119.475,118.8
2024-04-25,118.05,116.975,118.37500000000001,120.475,118.72500000000001
2024-04-26,117.64999999999999,118.05,116.975,118.37500000000001,118.58928571428571
2024-04-27,116.52499999999999,117.64999999999999,118.05,116.975,118.21785714285714
2024-04-29,117.475,116.52499999999999,117.64999999999999,118.05,117.93214285714284
2024-04-30,116.825,117.475,116.52499999999999,117.64999999999999,117.41071428571429
2024-05-02,116.125,116.825,117.475,116.52499999999999,117.08928571428571
2024-05-03,114.97500000000001,116.125,116.825,117.475,116.80357142857143
2024-05-06,115.0,114.97500000000001,116.125,116.825,116.36785714285715
2024-05-07,115.2,115.0,114.97500000000001,116.125,116.01785714285714
2024-05-08,115.225,115.2,115.0,114.97500000000001,115.83214285714284
2024-05-10,115.4,115.225,115.2,115.0,115.53571428571429
2024-05-13,115.5,115.4,115.225,115.2,115.34642857142858
2024-05-14,115.3,115.5,115.4,115.225,115.22857142857143
2024-05-15,116.025,115.3,115.5,115.4,115.37857142857142
